,행정구역,학원이름,주소,상세주소,위도,경도,분야명
37,동대문구,성신음악전문학원,서울특별시 동대문구 서울시립대로4길 35,", 2층 (답십리동)",37.5741558454938,127.048531023833,예능(대)
38,동대문구,연세학원,서울특별시 동대문구 사가정로 148,", 주상가동 412-2호  (전농동,전농 SK아파트)",37.5766590358858,127.061567688813,입시.검정 및 보습
39,동대문구,동부연세피아노학원,서울특별시 동대문구 왕산로43나길 20,1층 (청량리동),37.5856125666977,127.047760080063,예능(대)
40,동대문구,김영애음악학원,서울특별시 동대문구 한천로58길 47,", 상가동 401호 (이문동, 쌍용아파트)",37.6007507501532,127.068769452719,예능(대)
41,동대문구,예일어학원,서울특별시 동대문구 답십리로 238,2층3층4층 (장안동),37.5725470624111,127.066574613903,국제화
42,동대문구,신서울(I.N)아이엔학원,서울특별시 동대문구 무학로42길 45,", 3층 (제기동)",37.5821955602691,127.030285719948,입시.검정 및 보습
43,동대문구,예인학원,서울특별시 동대문구 한천로 97,", 3층 (답십리동)",37.5702281903316,127.064429528834,입시.검정 및 보습
44,동대문구,교일학원,서울특별시 동대문구 약령시로 16,", 2층일부 (제기동)",37.582531287861,127.031594274089,입시.검정 및 보습
45,동대문구,에꼴드에땅장안미술학원,서울특별시 동대문구 장한로28길 14,",  2층 (장안동)",37.5728442790183,127.072720035105,예능(대)
46,동대문구,스토리영어EM학원,서울특별시 동대문구 장한로28길 48,", 2층일부 (장안동)",37.5726606645832,127.074584137117,입시.검정 및 보습
47,동대문구,에이펙스학원,서울특별시 동대문구 답십리로72길 118,4층 (장안동),37.5671200838924,127.071972163471,입시.검정 및 보습
48,동대문구,포르테음악학원,서울특별시 동대문구 한천로11길 10-1,동아아파트 상가2동302호 (답십리동),37.569890008745,127.061631957974,예능(대)
49,동대문구,이보영의토킹클럽장안학원,서울특별시 동대문구 답십리로69길 8,", 401호 (장안동,장안동 근린생활시설)",37.5727149888064,127.074020684384,입시.검정 및 보습
50,동대문구,하이든음악학원,서울특별시 동대문구 약령시로 25,", 상가1동 204호,207호,208호 (제기동,안암골 벽산아파트)",37.5831469984959,127.03169971128,예능(대)
51,동대문구,사랑음악교습소,서울특별시 동대문구 한천로11길 28,", 1층일부 (답십리동)",37.5671893795262,127.060734277983,예능(대)
