행정구역명,학원/교습소,학원명,도로명주소,도로명상세주소,분야명,정원합계
동대문구,교습소,나래피아노음악교습소,서울특별시 동대문구 이문로42길 5,", 1층 일부 (이문동)",예능(대),55
동대문구,교습소,청송음악교습소,서울특별시 동대문구 답십리로66길 17,2층 (장안동),예능(대),15
동대문구,교습소,소아서예교습소,서울특별시 동대문구 답십리로 66,", 301호 (전농동)",기타(대),4
동대문구,교습소,우미영음악교습소,서울특별시 동대문구 서울시립대로12길 43,", 3층 (전농동 222-6)",예능(대),63
동대문구,교습소,열린음악교습소,서울특별시 동대문구 한천로39길 27,2층(전농동),예능(대),50
동대문구,교습소,상상아이미술창작소미술교습소,서울특별시 동대문구 약령시로 11,2층 (제기동),예능(대),18
동대문구,교습소,샤인미술교습소,서울특별시 동대문구 서울시립대로 31,동아아파트 102동상가110호 (전농동),예능(대),24
동대문구,교습소,예당음악교습소,서울특별시 동대문구 이문로1길 8-5,", 1층 (회기동)",예능(대),25
동대문구,교습소,경산서예교습소,서울특별시 동대문구 망우로 49,", 4층 일부 (휘경동)",기타(대),9
동대문구,교습소,르네미술교습소,서울특별시 동대문구 망우로 95,", 상가동 1층 103호 (휘경동, 휘경동롯데아파트)",예능(대),44
동대문구,교습소,모짜르트피아노교습소,서울특별시 동대문구 망우로16길 11-15,(2층) (휘경동),예능(대),20
동대문구,교습소,예진서예교습소,서울특별시 동대문구 장한로5길 41,3층일부(우측) (장안동),기타(대),10
동대문구,교습소,이레미술교습소,서울특별시 동대문구 회기로25길 55,2층 (이문동),예능(대),81
동대문구,교습소,예화피아노음악교습소,서울특별시 동대문구 한천로17길 23,", 2층 (답십리동)",예능(대),45
동대문구,교습소,삼성음악교습소,서울특별시 동대문구 전농로 192,전농동삼성아파트 상가204 (전농동),예능(대),51
동대문구,교습소,샛별음악교습소,서울특별시 동대문구 망우로10길 41,", 101호 (휘경동)",예능(대),20
동대문구,교습소,비바체음악교습소,서울특별시 동대문구 외대역동로 36,동양2차아파트 상가1층일부 (휘경동),예능(대),77
동대문구,학원,수학의힘동대문학원,서울특별시 동대문구 답십리로 291-1,3층전체 (장안동),입시.검정 및 보습,250
동대문구,교습소,이지수학교습소,서울특별시 동대문구 회기로 168,2층 (회기동),입시.검정 및 보습,25
동대문구,학원,스프라이팅(Spwriting)이문캠퍼스학원,서울특별시 동대문구 한천로58길 75-19,1층 (이문동),입시.검정 및 보습,32
동대문구,교습소,탑수학교습소,서울특별시 동대문구 사가정로 145,2층 (전농동),입시.검정 및 보습,44
동대문구,학원,베스트윈학원,서울특별시 동대문구 정릉천동로 158,2층 (제기동),입시.검정 및 보습,40
동대문구,학원,초록초록미술학원,서울특별시 동대문구 답십리로69길 8,", 5층일부 (장안동,장안동 근린생활시설)",예능(대),23
동대문구,학원,동대문올림피아드학원,서울특별시 동대문구 답십리로 269,", 2층, 3층 (장안동, 화성빌딩)",입시.검정 및 보습,210
동대문구,학원,GLEC어학원,서울특별시 동대문구 답십리로 269,", , 4층,6층 (장안동,화성빌딩)",국제화,162
동대문구,학원,예린음악학원,서울특별시 동대문구 답십리로69길 11,3층일부 (장안동),예능(대),60
동대문구,교습소,홍익아이숲미술교습소,서울특별시 동대문구 황물로 41,2층 (전농동),예능(대),21
동대문구,학원,동대문C&C미술학원,서울특별시 동대문구 한천로 196,2층일부 (장안동),예능(대),1090
동대문구,교습소,프라하피아노교습소,서울특별시 동대문구 고산자로30길 70,1층일부 (용두동),예능(대),20
동대문구,교습소,e해법수학교습소,서울특별시 동대문구 서울시립대로 31,동아아파트 102동 207호 (전농동),입시.검정 및 보습,21
동대문구,교습소,쥴리어드음악교습소,서울특별시 동대문구 답십리로23나길 17,", 1층일부 (전농동)",예능(대),25
동대문구,교습소,청솔해법영어교습소,서울특별시 동대문구 전농로10길 20,", 201호, 202호 (답십리동,답십리청솔우성아파트상가)",입시.검정 및 보습,40
동대문구,학원,현진학원,서울특별시 동대문구 사가정로 80,", 4층 413~415호 (답십리동)",입시.검정 및 보습,200
